,Title,Department,Details,Amount,State,City,Date
367,Heavy level of corruption in grameen bank bhojapur mau,Loan Sanctioning,"This is not about a particular case if corruption but regarding heavy corruption going in a bank, Kashi gomti samyut gramin bank branch bhojapur regio...",100, Uttar Pradesh,Mau,"September  4, 2019"
368,Scale RC Air Filters at RBinnovations.com,Others,These 1/10th high performance air filters or intake kits are designed to dramatically reduce intake restriction by smoothing and straightening the air...,"1,200", Andhra Pradesh,Adoni,"September  3, 2019"
369,AR10 Lower Part Kit & AR 10 Handguard,Others,"Buy online best, inexpensive/cheap and low-priced AR10 Mlok Handguard, AR10 Lower Part Kit & AR 10 Handguard and other related AR15 Handguard Accessor...","1,200", Delhi,New Delhi,"September  2, 2019"
370,Automatic Electric Cigarette Rolling Machine & Tobacco Tubing Machine,Others,"Looking for cheap, best and high quality automatic cigarette rolling machine, tobacco tubing machine and tobacco tube rollers for sale online, if yes ...","1,200", Delhi,New Delhi,"September  2, 2019"
371,Personal loan of up to  15 crores ,Sales Tax,"Citi ClOUD FUNDING

present your excellent business idea and

get a loan up to 50 crores depending on

how good your plan is, and pay it back 

by yo...","80,000", Tamil Nadu,Chennai,"September  2, 2019"
372,Http://www.healthandfitnesshop.com/floraspring/,Excess Baggage,FloraSpring:- Talk to anyone who has a weight problem and they will tell you that losing weight is not the easiest thing in the world to do. Your medi...,100, Assam,Abhayapuri,"September  1, 2019"
373,Traffic police,Traffic Violations,"Traffic police, CP, stopped our vehicle for license plate  design,  and asked for 5000, then settled for 3000, and fined 200 rs challan,  and let 3000...","3,000", Delhi,New Delhi,"August 31, 2019"
374,"We offer real credit services to the general public, in order to…",Others,"We offer real credit services to the general public, in order to improve mankind and save those who have bad credit. Credits We have certified and 100...","30,00,000", Maharashtra,Pune,"August 31, 2019"
375,Police verification for passport application,Verification and Certificates,I was asked for a Rs.500 bribe to complete the police verification for my passport application at the Byappanahalli police station. This happened on J...,300, Karnataka,Bangalore,"August 31, 2019"
376,Broken  no. plate,"Traffic Fines, Penalties, Rules",My front no. Plate of motorcycles just broken and he was charged me for that 100rs....,100, Maharashtra,Pune,"August 31, 2019"
377,BEST PLACE TO INVEST ON YOUR BITCOIN TODAY IN INDIA,Loans,"I want to introduce you to my secret of bitcoin mining that can generate huge profit within a short period of  time.
Email: bit.fxtrade@yahoo.com...","5,000", Tamil Nadu,Chennai,"August 30, 2019"
378,Collage  management refundabel  amount  don't refund to student,School or College Related,Geetanjali hospital & collage Udaipur Rajasthan...,"5,500", Rajasthan,Udaipur,"August 30, 2019"
379,At the time of case closure,Court Related,When my case was supposed to close the people who looks after documentation work asked for Bribe. If we didn't pay they will not give the documents on...,"5,000", Maharashtra,Mumbai,"August 29, 2019"
380,Refurbished Hoverboards Segway/Swegway UK,Others,Get best and cheap refurbished hoverboards segway/swegway for sale in UK from smartboardsuk.com. Choose from our top and high quality selection of ref...,"1,200", Uttar Pradesh,Adari,"August 28, 2019"
381,Nitrous Injection Kits & Nitrous Injection Systems,Others,"We at RB Innovations (rbinnovations.com) have high-performance, top quality and logical priced nitrous injection kits, nitrous injection systems, nitr...","1,200", Delhi,New Delhi,"August 28, 2019"
382,Bribe for test report of agriculture implements under government scheme by agricultural universities,Government Schemes,"Sir,

I want to bring to your attention that agricultural universities for testing agricultural equipments ask for bribe to make test report successfu...","20,000", Haryana,Hisar,"August 28, 2019"
383,Aadhar Centre illegal charges,Others,"Hi Team,

This email is highlight the changes taken by Aadhar Support centre while making corrections to Aadhar card details and No receipt for that c...",100, Uttar Pradesh,Rath,"August 28, 2019"
384,Buy Hand Stitched & Leather Goods Boat shoes â Froats.com,Others,"FROATS (froats.com) the full line-up is combining unique & wild patterns with timeless & classic men's casual footwear like best insole boat shoes, h...","1,200", Uttar Pradesh,Adari,"August 28, 2019"
385,"Wholesale Cali Pods - Sea Pods, Plus Pods, Eon Smoke and Eon Pods",Others,"Now Wholesale juul compatible Cali Pods and Sea Pods, Plus Pods, Eon Smoke, Eon Pods and other related vape products at best market price and with fre...","1,200", Uttar Pradesh,Achhnera,"August 28, 2019"
386,New connection,Change of Tariff in Domestic to Commercial,The bescom engineer inspected my place and asked me to turn down a room wall if not he wouldn't give me connection . After be bringing down my walls h...,"2,00,000", Karnataka,Bangalore,"August 27, 2019"
387,Tenant verification,Verification and Certificates,7:45 pm. Bribe paid by tenant for tenant verification. Kapurbawdi police station...,500, Maharashtra,Thane,"August 27, 2019"
388,The sub registrar is asking 10000 rupees from every single person who is getting their home register,Property Registration,The sub registrar is asking Rs 10000 from all the people who are getting their land registered at kharar Tehsil in Kharar District SAS Nagar ...,"12,000", Punjab,SAS Nagar,"August 27, 2019"
389,AR15 Buffer Tube & AR15 Pistol Buffer Tube,Others,"If you are looking to buy online best, cheap & inexpensive buffer tubes, ar15 buffer tube, ar15 pistol buffer tube, ar buffer tube and several other r...","1,200", Tripura,Agartala,"August 27, 2019"
390,Powermatic 2+ (Plus) Electric Cigarette Rolling Machine For Sale,Others,The Powermatic 2 (II) Plus + Electric Cigarette Rolling Machine is a popular and inexpensive electric cigarette rolling machine. The Powermatic 2+ Ele...,"1,200", Delhi,New Delhi,"August 27, 2019"
391,Power of attorney total fees,Policies and Procedures,Stamp duty is only 1000 est but registrar asked 1000 n other departments peole n lawyer fees 1000. In total the power of attorney document cost me 500...,"5,000", Madhya Pradesh,Indore,"August 26, 2019"
392,Bribe for passport review in police verification,Police Clearance Certificate,In shivaji colony police station in rohtak they take bribe for police verification of passport ...,200, Haryana,Rohtak,"August 25, 2019"
393,BBMP TRADE LICENSE ,Certificates,"I applied for Trade License for my new outlet. BBMP Officer Name : Vinod
Area : HSR Layout 
Bribe : 50000
Designation : BBMP Health Inspector
Location...","50,000", Karnataka,Bangalore,"August 24, 2019"
394,Chai pani to police official at Principal Commissioner Revsion Application office ,Excise,"Police official asked for chai pani and i had to pay him Rs. 200 for which he did nothing. I had gone to World Trade Centre 8th Floor, cuffe parade Mu...",200, Maharashtra,Mumbai,"August 24, 2019"
395,Bribe to a person claiming herself to be an advocate,Others,"Date - 23/08/2019
Time - around 1 pm
My car was at Phoolbagan Crossing, EM Bypass, Kolkata waiting in the signal driven by my husband (owner of the ca...","2,000", West Bengal,Kolkata,"August 23, 2019"
396,Corruption for passing bill of garden maintenance,Aadhaar Card,"Name- Anil mishra 
Date - 22/8/19
Time-12:00 PM
Location-muncipal corporation jabalpur
Incident-municipal office 
Designation-garden officer...","50,000", Madhya Pradesh,Jabalpur,"August 23, 2019"
397,KR Puram Property Registration office,Property Registration,KR puram land registration office looting citizenz amount and directly asking bribe of 20K for each registration and if not providing they will ask to...,"20,000", Karnataka,Bangalore,"August 22, 2019"
398,State to State Moving Companies | Financing for Moving and Relocation,Others,"Xfinity Moving (xfinitymoving.com/service-areas) is one of the best, professional, award-winning state to state moving company that specialize in auto...","1,233", Uttar Pradesh,Adari,"August 22, 2019"
399,Best Long Distance Auto Transport Moving Company & Services,Others,"Xfinity Moving (xfinitymoving.com/auto-transportation) is one of the best, professional, award-winning auto transport moving company or companies that...","1,200", Uttar Pradesh,Adari,"August 22, 2019"
400,Corporate & Industrial Moving Company & Best Corporate Relocation Services & Companies,Others,"Xfinity Moving (xfinitymoving.com/corporate-relocation) is one of the best, professional, award-winning corporate and industrial moving companies that...","1,200", Uttar Pradesh,Adari,"August 22, 2019"
401,"Business & Commercial Moving Services, Company, & Business Relocation Movers Companies",Others,We at Xfinity Moving (xfinitymoving.com/commercial-business-moving) are a top-rated long distance Business & Commercial moving company providing full-...,"1,200", Delhi,New Delhi,"August 22, 2019"
402,"Residential Moving Company, Residential Moving Services & Companies",Others,We at Xfinity Moving (xfinitymoving.com/residential-moving) are a top-rated long distance residential moving company providing full-service for reside...,"1,200", Uttar Pradesh,Adari,"August 22, 2019"
403,Report against corruption in Bihar fisheries,Others,Entire fisheries department of Bihar is corrupt.All the directors and seniors in Bihar fisheries Patna office are corrupt.without taking money they do...,"10,000", Bihar,Patna,"August 20, 2019"
404,Paid to Patwari for Land Record Updates,Encumbrance Certificate,"5000Rs paid to Patwari for Land Record Updates. Recently we bought the land in our area, for updatation of land record in our name , we paid extra 500...","5,000", Chhattisgarh,Ambikapur,"August 20, 2019"
405,Best Long Distance Moving or Movers Companies â Xfinitymoving.com,Others,"Xfinity Moving (xfinitymoving.com) is one of the top, best and affordable long distance moving companies or Movers Company, interstate removal company...","1,200", Delhi,New Delhi,"August 20, 2019"
406,Bribe for getting no earning member certificate,Certificates,"My father expired during in service in order to apply for the job through compassionate ground,I applied for no earning member certificate at hindupur...","5,000", Andhra Pradesh,Hindupur,"August 20, 2019"
407,Losi 5ive Upgrade Parts - Losi 5ive,Others,"Shop online for best and cheap losi 5ive upgrade and replacement parts at RB Innovations (rbinnovations.com) automotive store and more from servo arm,...","1,200", Delhi,New Delhi,"August 20, 2019"
408,AR15 Charging Handle & AR15 Froward Assist,Others,"Get or buy online best, cheap, high quality & cheap AR15 charging handle and numerous other related AR Handguard items then we at the AR15 Handguard (...","1,200", Delhi,New Delhi,"August 19, 2019"
409,TT tooke bribe from me,"Fines, Penalties and Rules",Yesterday i was coming from Bilaspur junction to Raipur junction i had booked an ordinary tikit due to lack of awareness and traveled in an superfast ...,200, Chhattisgarh,Raipur,"August 19, 2019"
410,Two TT took bribe from so many passenger,Traveling without Ticket,I was traveling from Bhusawal to nasik in train 11062 Darbanga Express as on 17th August 2019 with my family and carrying General ticket and wrongly b...,200, Maharashtra,Jalgaon,"August 18, 2019"
411,Police demand bribe instead of rto fine,"Traffic Fines, Penalties, Rules","28 Jan 2019 time 8:00 pm

I paid bribe for wrong side entry of road

Which is demand from the officer police station inspector 

While I am ready to p...","1,000", Maharashtra,Pune,"August 17, 2019"
412,Personal gold chain,Customs,Was wearing my own gold chain bought last year.Had reciept on phone.still customs demanded 40000.After all stories they took 15000 to let me go.no nam...,"15,000", Telangana,Hyderabad,"August 17, 2019"
413,Fake driving license,Entry Tax,"Kisi ko driving license banwana ho to iss number pe sampark karen 9827947428.. 2wheeler 4wheeler. BINA TEST DRIVE LIYE. only 4500/-...
abhi ye whatsap...","4,500", Chhattisgarh,Raipur,"August 17, 2019"
414,Bribe Taken BY Programmer P.K. Rawat Directorate of Treasuries,Others,"Mr. P.K. Rawat Programmer (Directorate of Treasury) taken 35000 for work order/ AMC work of computerization at Treasury Directorate, Lucknow ,Uttar Pr...","35,000", Uttar Pradesh,Lucknow,"August 16, 2019"
415,"Best Corporate Relocation Companies, Industrial Moving Company & Corporate Relocation Services",Others,"Xfinity Moving is one of the best, professional, award-winning corporate and industrial moving companies that specialize in corporate relocation and w...","1,200", Uttar Pradesh,Adari,"August 16, 2019"
